size,kernelMs(cpu),wallMs(cpu)
10,12.119999999413267,12.679999999818392
20,8.154999995895196,8.275000000139698
30,7.979999994859099,8.064999994530808
40,7.270000001881272,7.344999998167623
50,10.44999999430729,10.529999999562278
60,16.005000004952308,16.085000002931338
70,22.23500000400236,22.299999996903352
80,31.715000004624017,31.824999998207204
90,42.27499999979045,42.405000000144355
100,56.02500000532018,56.13000000448665
110,72.86000000021886,72.96999999380205
120,93.84999999747379,93.95000000222353
130,111.73000000417233,111.81999999826076
140,141.6149999931804,141.8649999977788
150,162.56499999872176,162.65000000566943
160,192.815000002156,192.92500000301516
170,223.40499999700114,223.5000000000582
180,265.8450000017183,265.95500000257744
190,307.05000000307336,307.1399999971618
200,497.07499999931315,497.1800000057556
210,407.7949999991688,407.89000000222586
220,472.0050000032643,472.2950000068522
230,526.5799999979208,526.6699999992852
240,599.0300000048592,599.275000000489
250,668.6899999986053,668.7900000033551
260,747.640000001411,747.8600000031292
270,825.3449999974691,825.5800000042655
280,919.9850000004517,920.0999999957276
290,1074.2899999968358,1074.4100000010803
300,1094.7650000016438,1095.034999998461
310,1226.2899999986985,1226.6400000007707
320,1351.569999998901,1351.6799999997602
330,1476.249999999709,1476.4849999992293
340,1619.7450000036042,1619.989999999234
350,1737.4550000022282,1737.6950000034412
360,1946.5599999966798,1946.8100000012782
370,2048.894999999902,2049.1499999989173
380,2182.615000005171,2182.7249999987544
390,2383.50999999966,2383.620000000519
400,2558.884999998554,2558.984999996028
410,2709.3650000024354,2709.4800000049872
420,2937.4300000054063,2937.534999997297
430,3151.3749999940046,3151.6150000024936
440,3346.0249999989173,3346.124999996391
450,3613.1249999962165,3613.230000002659
460,3808.6500000063097,3808.7650000015856
470,4076.5150000006543,4076.62999999593
480,4271.139999997104,4271.240000001853
490,4596.385000004375,4596.499999999651
500,4822.934999996505,4823.04500000464
510,5141.045000003942,5141.154999997525
520,5481.970000000729,5482.09499999939
530,5820.290000003297,5820.395000002463
540,6121.214999999211,6121.3149999966845
550,6529.329999997572,6529.445000000123
560,6710.715000001073,6710.82000000024
570,7072.43500000186,7072.680000004766
580,7522.470000003523,7522.579999997106
590,7915.795000000799,7915.905000001658