size,kernelMs(webgl),wallMs(webgl)
10,1.286,121.00000000646105
20,1.1640000000000004,105.60999999870546
30,1.0440000000000003,75.81000000209315
40,1.0370000000000004,68.14000000304077
50,1.0490000000000004,68.80999999702908
60,1.0950000000000006,72.17499999387655
70,1.202,73.87999999627937
80,1.3050000000000006,77.92999999946915
90,1.3080000000000005,80.29000000533415
100,1.2550000000000003,85.93500000279164
110,1.366,86.68499999475898
120,1.358,90.80000000540167
130,1.414,95.10500000033062
140,1.5119999999999998,99.56999999849359
150,1.4960000000000004,105.53000000072643
160,1.76,111.05000000679865
170,1.623,116.48499999864725
180,2.417,125.07499999628635
190,4.197000000000001,140.8450000017183
200,3.7800000000000002,134.27499999670545
210,3.753,139.0449999962584
220,4.9060000000000015,151.43499999976484
230,5.080999999999998,160.72500000154832
240,5.008000000000001,178.04500000056578
250,3.2259999999999995,177.55500000203028
260,5.476000000000002,187.62500000593718
270,5.947,198.02999999956228
280,6.1190000000000015,209.00499999697786
290,6.543,228.2850000046892
300,6.654,230.88499999721535
310,7.28,238.47000000387197
320,8.059000000000001,253.79500000417465
330,7.938000000000001,273.83999999437947
340,6.647000000000002,269.52000000164844
350,9.495,290.91000000335043
360,8.469000000000001,323.275000002468
370,6.1370000000000005,317.0350000000326
380,10.286999999999999,325.6649999966612
390,11.195000000000002,345.87000000465196
400,11.453,354.5299999968847
410,12.481,384.25000000279397
420,13.961999999999998,390.43999999557855
430,14.248000000000001,401.98500000406057
440,14.346,413.00999999657506
450,10.004999999999999,422.3050000000512
460,18.725000000000005,456.15999999427004
470,20.791,472.0450000022538
480,21.201999999999995,493.7449999997625
490,22.55,514.8750000007567
500,22.935,524.0849999972852
510,24.162000000000003,550.3949999983888
520,19.496,586.235000002489
530,15.476999999999995,580.9499999959371
540,14.056000000000004,598.8799999977346
550,29.264,644.3700000017998
560,30.648999999999997,668.9000000042142
570,26.340000000000007,678.3050000012736
580,33.69600000000001,713.4900000019115
590,35.068,733.5500000044703